Percentage at School,Percentage at College,Hours Studing per day,Interested in extracurricular activites?,Self-learning capability?,Are you Introvert?,Area That Align with Your Mission,Skills,Interested Subjects,Hobbies,Fulfilling Activity,Strengths,Suggested Job Role
81,75,4,0,4,1,Economic Development,employee engagement,Human Resources,Yoga,data analysis,Supportive,HR Manager
85,84,9,0,3,1,Mental Health and Well-being,Health Promotion,Public Health,Researching,"	Develop educational programs",Advocacy,Health Educator
72,92,12,1,3,1,Mental Health and Well-being,Health Promotion,Public Health,Landscaping,Promote healthy lifestyles,Communication,Health Educator
68,78,10,0,5,1,Mental Health and Well-being,Data Management,Health Information Management,Health Education,Manage health data,Detail-oriented,Health Information Manager
72,68,11,0,1,0,Community Development,Safety,Health,Safety Training,Implement safety protocols,Vigilance,Health and Safety Officer
89,82,11,0,5,0,Environmental Conservation,Cultivation,Botany,Development,plant propagation,Cultivation,Horticulturist
64,73,6,0,5,1,Sustainability,horticultural research,Horticulture,Interior Design,soil management,Collaborative,Horticulturist
66,74,9,1,3,0,Sustainability,pest control,Horticulture,UX Design,pest control,Problem-solving,Horticulturist
68,66,3,1,1,1,Sustainability,community gardening,Horticulture,Gardening,landscape design,Engaging,Horticulturist
77,72,4,0,4,1,Sustainability,floral design,Horticulture,Planting,sustainable practices,Insightful,Horticulturist
70,79,5,1,3,0,Sustainability,irrigation systems,Horticulture,Sowing,greenhouse management,Organized,Horticulturist
67,76,7,1,4,0,Sustainability,greenhouse management,Horticulture,Exhibiting,horticultural research,Innovative,Horticulturist
78,65,8,0,2,1,Sustainability,sustainable practices,Horticulture,Print Design,irrigation systems,Resourceful,Horticulturist
80,70,11,1,5,1,Sustainability,landscape design,Horticulture,Typography,floral design,Creative,Horticulturist
72,78,12,0,4,1,Sustainability,soil management,Horticulture,UI Design,community gardening,Analytical,Horticulturist
75,68,10,1,5,1,Sustainability,plant propagation,Horticulture,Animation,Cultivation,Detail-oriented,Horticulturist
66,74,9,1,3,0,Community Development,budgeting and finance,Hospitality,Cooking,guest relations,Analytical,Hotel Manager
72,78,12,0,4,1,Community Development,staff management,Hospitality,Traveling,staff management,Detail-oriented,Hotel Manager
75,68,10,1,5,1,Community Development,guest relations,Hospitality,Photography,budgeting and finance,Leadership,Hotel Manager
67,76,7,1,4,0,Community Development,quality assurance,Hospitality,Fitness,marketing strategies,Innovative,Hotel Manager
78,89,5,1,4,1,Technology and Innovation,Hospitality,Hospitality,Innovation,event planning,Leadership,Hotel Manager
68,66,3,1,1,1,Community Development,health and safety compliance,Hospitality,Writing,quality assurance,Engaging,Hotel Manager
80,70,11,1,5,1,Community Development,marketing strategies,Hospitality,Reading,customer service training,Creative,Hotel Manager
70,79,5,1,3,0,Community Development,operations management,Hospitality,Hiking,operations management,Organized,Hotel Manager
77,72,4,0,4,1,Community Development,conflict resolution,Hospitality,Painting,conflict resolution,Insightful,Hotel Manager
64,73,6,0,5,1,Community Development,customer service training,Hospitality,Volunteering,health and safety compliance,Collaborative,Hotel Manager
78,65,8,0,2,1,Community Development,event planning,Hospitality,Yoga,Hospitality,Resourceful,Hotel Manager
85,87,3,1,2,0,Technology and Innovation,teamwork,Automation,Automation,programming,Tech innovator,IOT Engineer
69,63,4,0,4,0,Technology and Innovation,programming,Automation,Prototyping,adaptability,Systems integrator,IOT Engineer
80,61,12,1,3,0,Technology and Innovation,programming,Automation,Systems Integration,business,Systems integrator,IOT Engineer
82,91,6,0,3,1,Technology and Innovation,testing,Automation,Electronics,decision making,Tech innovator,IOT Engineer
87,64,15,0,4,0,Technology and Innovation,testing,Automation,Engineering,development,Innovative,IOT Engineer
84,67,9,1,2,0,Technology and Innovation,testing,Automation,Networking,photography,Systems thinker,IOT Engineer
74,60,6,0,3,1,Technology and Innovation,programming,Automation,Cybersecurity,testing,Connectivity expert,IOT Engineer
86,64,8,0,4,0,Technology and Innovation,adaptability,Automation,Software Development,teamwork,Tech innovator,IOT Engineer
80,83,5,1,4,0,Technology and Innovation,programming,Automation,Smart Home Building,management,Inspiring leader,IOT Engineer
50,50,0,0,1,1,Technology and Innovation,development,Automation,App Development,leadership,Technologically adept,IOT Engineer
66,94,10,0,1,0,Technology and Innovation,decision making,Automation,Tech Solutions,graphic designing,Innovative,IOT Engineer
68,83,6,0,3,1,Technology and Innovation,development,Automation,Data Analysis,Engaging with Automation,Systems integrator,IOT Engineer
65,84,3,0,4,0,Technology and Innovation,testing,Automation,Sensor Development,Design IoT architecture,Systems integrator,IOT Engineer
91,75,1,0,3,0,Technology and Innovation,management,Automation,App Development,Develop IoT prototypes,IOT Engineer,IOT Engineer
75,94,6,0,1,1,Technology and Innovation,teamwork,Automation,Cloud Computing,Optimize firmware performance,Systems thinker,IOT Engineer
72,60,9,1,4,1,Technology and Innovation,adaptability,Automation,Electronics,Simulate network behavior,Innovative,IOT Engineer
84,72,8,1,2,1,Technology and Innovation,decision making,Automation,Automation,Analyze system requirements,Innovative thinker,IOT Engineer
69,65,3,0,4,1,Technology and Innovation,adaptability,Automation,Prototyping,Architect scalable solutions,Innovative thinker,IOT Engineer
94,89,5,0,2,0,Technology and Innovation,teamwork,Automation,Network Security,Engineer device features,Visionary leader,IOT Engineer
68,68,11,1,3,0,Technology and Innovation,teamwork,Automation,IoT Projects,Validate hardware designs,Systems thinker,IOT Engineer
71,63,3,0,2,1,Technology and Innovation,adaptability,Automation,Tech Design,Build end-to-end solutions,Tech visionary,IOT Engineer
94,77,9,0,4,0,Technology and Innovation,development,Automation,Consulting,Write device code,Connectivity expert,IOT Engineer
77,67,7,0,4,0,Technology and Innovation,programming,Automation,Systems Integration,Debug IoT programs,Tech innovator,IOT Engineer
75,65,3,1,4,0,Technology and Innovation,decision making,Automation,Sensor Development,Configure IoT protocols,Innovative,IOT Engineer
67,80,3,0,4,0,Technology and Innovation,decision making,Automation,Research,Implement OTA updates,Operational leader,IOT Engineer
72,93,12,1,3,0,Technology and Innovation,programming,Automation,Tech Solutions,Automate IoT tasks,Innovative,IOT Engineer
76,92,8,1,4,0,Technology and Innovation,development,Automation,Animation,Deploy cloud solutions,Tech innovator,IOT Engineer
90,92,12,1,5,1,Technology and Innovation,adaptability,Automation,Storyboarding,Test protocol interoperability,Innovative developer,IOT Engineer
70,89,4,0,5,0,Technology and Innovation,testing,Automation,Scriptwriting,Integrate enterprise systems,Innovative thinker,IOT Engineer
76,76,10,1,3,1,Technology and Innovation,testing,Automation,Editing,Assemble IoT hardware,Systems thinker,IOT Engineer
71,63,15,1,5,0,Technology and Innovation,programming,Automation,Cinematography,Calibrate IoT sensors,Innovative,IOT Engineer
88,76,12,0,4,1,Technology and Innovation,decision making,Automation,Directing,Monitor network performance,Systems innovator,IOT Engineer
85,67,12,1,3,0,Technology and Innovation,decision making,Automation,Filmmaking,Troubleshoot device issues,Creative thinker,IOT Engineer
86,90,6,1,3,1,Technology and Innovation,decision making,Automation,Systems Engineering,Wire IoT components,Innovative,IOT Engineer
77,76,12,1,2,0,Technology and Innovation,programming,Automation,Tech Support,Connect wireless networks,Systems thinker,IOT Engineer
91,87,12,1,5,1,Technology and Innovation,programming,Automation,Programming,Upgrade legacy hardware,Systems integrator,IOT Engineer
94,61,8,1,4,0,Technology and Innovation,teamwork,Automation,Digital Tools,Power devices efficiently,Business strategist,IOT Engineer
70,87,12,0,5,0,Technology and Innovation,teamwork,Automation,App Development,Collect sensor data,Tech innovator,IOT Engineer
64,85,9,1,3,1,Technology and Innovation,graphic designing,Automation,Tech Research,Analyze device data,Architecture,IOT Engineer
86,69,6,1,4,1,Technology and Innovation,leadership,Automation,Data Management,Visualize IoT data,Implementation,IOT Engineer
74,91,9,0,4,1,Technology and Innovation,testing,Automation,Tech Design,Process real-time streams,Tech innovator,IOT Engineer
80,79,12,0,2,1,Technology and Innovation,programming,Automation,IOT Research,Encrypt device communication,Innovative thinker,IOT Engineer
63,83,3,0,4,0,Technology and Innovation,testing,Automation,System Administration,Authenticate IoT devices,Systems integrator,IOT Engineer
78,81,12,0,3,1,Technology and Innovation,adaptability,Automation,Coding,Secure IoT networks,Innovative thinker,IOT Engineer
75,91,3,0,3,1,Technology and Innovation,business,Automation,Development,Collaborate with teams,Intelligence,IOT Engineer
82,71,3,1,3,0,Technology and Innovation,development,Automation,Networking,Document system workflows,Systems integrator,IOT Engineer
71,87,7,1,2,1,Technology and Innovation,programming,Automation,IoT Projects,Present project results,Tech visionary,IOT Engineer
81,82,9,0,2,1,Technology and Innovation,decision making,Automation,Smart Home Building,Share development practices,Systems innovator,IOT Engineer
63,73,9,1,3,0,Technology and Innovation,photography,Automation,Data Analysis,Manage system maintenance,Automation,IOT Engineer
73,82,8,1,3,1,Technology and Innovation,programming,Automation,Engineering,Maintain emerging knowledge,Security-focused,IOT Engineer
62,85,10,0,4,0,Technology and Innovation,programming,Fixing Issues,Software Development,teamwork,Operational leader,IT Consultant
87,78,12,1,5,1,Technology and Innovation,testing,Fixing Issues,Data Management,adaptability,Business-minded,IT Consultant
77,79,12,1,3,1,Technology and Innovation,adaptability,Fixing Issues,Investigative Research,testing,Code reviewer,IT Consultant
89,90,12,1,3,1,Technology and Innovation,development,Fixing Issues,Sports Strategy,critical thinking,Insightful strategist,IT Consultant
90,65,3,1,5,1,Technology and Innovation,decision making,Fixing Issues,Team Building,decision making,Strategic advisor,IT Consultant
74,75,12,1,3,1,Technology and Innovation,decision making,Fixing Issues,Problem Solving,programming,Client-focused,IT Consultant
79,87,12,1,4,1,Technology and Innovation,decision making,Fixing Issues,Troubleshooting,development,Solution-oriented,IT Consultant
87,80,15,0,1,1,Technology and Innovation,critical thinking,Fixing Issues,Consulting,reading books,Technical innovator,IT Consultant
62,83,4,0,4,1,Technology and Innovation,testing,Fixing Issues,Media Collaboration,problem solving,Detail-oriented,IT Consultant
75,67,15,0,1,0,Technology and Innovation,adaptability,Fixing Issues,Film Production,Engaging with Fixing Issues,Client advocate,IT Consultant
74,80,3,0,4,0,Technology and Innovation,teamwork,Fixing Issues,Sound Design,Assess business needs,Solution provider,IT Consultant
89,79,6,1,4,0,Technology and Innovation,testing,Fixing Issues,Editing,Define IT strategies,Change agent,IT Consultant
94,69,11,0,5,1,Technology and Innovation,testing,Fixing Issues,Cinematography,Develop technology roadmaps,Client-focused,IT Consultant
76,68,5,0,2,1,Technology and Innovation,adaptability,Fixing Issues,Creative Writing,Plan system upgrades,Strategic advisor,IT Consultant
81,85,15,0,5,1,Technology and Innovation,problem solving,Fixing Issues,Color Theory,Evaluate IT investments,Strategy,IT Consultant
63,79,12,0,2,0,Technology and Innovation,testing,Fixing Issues,Furniture Design,Recommend IT solutions,Detail-oriented,IT Consultant
85,70,2,0,4,0,Technology and Innovation,programming,Fixing Issues,Decorating,Align IT with goals,Client-oriented,IT Consultant
86,76,9,0,4,1,Technology and Innovation,testing,Fixing Issues,Space Planning,Create implementation plans,Creative thinker,IT Consultant
72,83,15,1,4,0,Technology and Innovation,teamwork,Fixing Issues,Home Styling,Analyze organizational workflows,Solution-oriented,IT Consultant
91,88,6,1,3,1,Technology and Innovation,decision making,Fixing Issues,Interior Design,Deploy IT infrastructures,Business strategist,IT Consultant
64,72,12,0,4,1,Technology and Innovation,decision making,Fixing Issues,Fitness Training,Configure enterprise software,Insightful advisor,IT Consultant
61,72,15,1,2,1,Technology and Innovation,decision making,Fixing Issues,Tech Research,Migrate legacy systems,Client-focused,IT Consultant
73,74,3,1,2,1,Technology and Innovation,adaptability,Fixing Issues,Programming,Integrate new technologies,Change facilitator,IT Consultant
64,55,3,0,2,0,Technology and Innovation,development,Fixing Issues,System Design,Implement cloud solutions,Problem-solver,IT Consultant
94,91,6,0,1,0,Technology and Innovation,programming,Fixing Issues,Training,Optimize IT resources,Solution-oriented,IT Consultant
62,71,15,0,2,1,Technology and Innovation,programming,Fixing Issues,Coaching,Install network systems,Change facilitator,IT Consultant
74,85,9,1,4,0,Technology and Innovation,reading books,Fixing Issues,Planning,Test software implementations,Consulting,IT Consultant
91,64,15,0,4,1,Technology and Innovation,development,Fixing Issues,Managing,Resolve deployment issues,Strategic advisor,IT Consultant
80,64,12,1,3,0,Technology and Innovation,testing,Fixing Issues,Cloud Computing,Conduct risk assessments,Insightful advisor,IT Consultant
72,87,12,0,4,1,Technology and Innovation,programming,Fixing Issues,Programming,Ensure data compliance,Insightful advisor,IT Consultant
88,92,11,1,4,1,Technology and Innovation,teamwork,Fixing Issues,Cybersecurity,Audit IT systems,Data visualizer,IT Consultant
91,92,6,0,2,1,Technology and Innovation,decision making,Fixing Issues,Networking,Develop security protocols,Change facilitator,IT Consultant
89,84,12,0,2,1,Technology and Innovation,teamwork,Fixing Issues,System Design,Implement access controls,Strategic advisor,IT Consultant
85,84,9,1,3,1,Technology and Innovation,decision making,Fixing Issues,Strategizing,Monitor system vulnerabilities,Change agent,IT Consultant
66,77,12,1,4,1,Technology and Innovation,decision making,Fixing Issues,Marketing,Protect sensitive data,Strategic advisor,IT Consultant
80,82,8,1,4,1,Technology and Innovation,programming,Fixing Issues,Networking,Educate on cybersecurity,Good  Advisor,IT Consultant
78,87,15,1,2,0,Technology and Innovation,development,Fixing Issues,Selling,Troubleshoot technical issues,Solution-oriented,IT Consultant
60,64,5,0,3,0,Technology and Innovation,teamwork,Fixing Issues,Client Relations,Manage IT support requests,Strategic advisor,IT Consultant
83,83,12,1,5,0,Technology and Innovation,teamwork,Fixing Issues,Troubleshooting,Maintain IT infrastructure,Business strategist,IT Consultant
65,74,3,1,3,1,Technology and Innovation,adaptability,Fixing Issues,Consulting,Update software regularly,Client-focused,IT Consultant
61,66,12,0,2,0,Technology and Innovation,programming,Fixing Issues,Reporting,Perform system backups,Client advocate,IT Consultant
86,74,6,1,3,0,Technology and Innovation,decision making,Fixing Issues,Creative Writing,Provide end-user training,Strategic advisor,IT Consultant
61,60,6,0,5,1,Technology and Innovation,decision making,Fixing Issues,Handcrafting,Optimize system performance,Data-driven thinker,IT Consultant
68,72,12,1,2,0,Technology and Innovation,programming,Fixing Issues,Designing,Collaborate with stakeholders,Client advocate,IT Consultant
82,80,1,0,2,1,Technology and Innovation,adaptability,Fixing Issues,Market Research,Present IT recommendations,Change agent,IT Consultant
81,75,6,1,3,0,Technology and Innovation,development,Fixing Issues,Investing,Document IT processes,Strategic advisor,IT Consultant
81,61,3,0,3,1,Technology and Innovation,decision making,Fixing Issues,Analyzing,Share best practices,Tech innovator,IT Consultant
69,94,3,0,3,1,Technology and Innovation,critical thinking,Fixing Issues,Stock Trading,Manage project timelines,Client-focused,IT Consultant
67,66,12,0,3,1,Technology and Innovation,programming,Fixing Issues,Project Management,Track IT project metrics,Client-focused,IT Consultant
67,94,3,1,2,0,Technology and Innovation,decision making,Fixing Issues,Negotiating,Track IT project metrics,Business consultant,IT Consultant
62,88,6,1,5,0,Technology and Innovation,Troubleshooting,Technology,Editing,troubleshooting,Problem-Solving,IT Support Specialist
82,75,12,1,4,0,Technology and Innovation,Troubleshooting,Technology,Journalism,hardware installation,Problem-Solving,IT Support Specialist
66,70,5,1,3,0,Technology and Innovation,ticketing systems,IT Support,Exploring Nature,software configuration,Efficient,IT Support Specialist
81,75,4,0,4,1,Technology and Innovation,cybersecurity awareness,IT Support,Photography,network troubleshooting,Proactive,IT Support Specialist
90,82,10,1,5,1,Technology and Innovation,troubleshooting,IT Support,Documentary Filmmaking  ,user training,Analytical,IT Support Specialist
88,80,12,0,4,0,Technology and Innovation,hardware installation,IT Support,Watching Films  ,system maintenance,Detail-oriented,IT Support Specialist
85,78,9,1,3,0,Technology and Innovation,software configuration,IT Support,Fitness,remote support,Technical,IT Support Specialist
92,76,11,1,5,1,Technology and Innovation,network troubleshooting,IT Support,Reading,ticketing systems,Problem-solving,IT Support Specialist
78,70,3,1,1,1,Technology and Innovation,documentation skills,IT Support,Painting,cybersecurity awareness,Detail-oriented,IT Support Specialist
84,73,7,1,4,0,Technology and Innovation,system maintenance,IT Support,Blogging,documentation skills,Organized,IT Support Specialist
79,71,6,0,5,1,Technology and Innovation,remote support,IT Support,Traveling,Troubleshooting,Resourceful,IT Support Specialist
87,74,8,0,2,1,Technology and Innovation,user training,IT Support,Writing,Engaging with IT Support,Communicative,IT Support Specialist
94,88,9,0,3,0,Technology and Innovation,Troubleshooting,Technology,Public Speaking,Engaging with IT Support,Support,IT Technician
71,91,12,0,2,1,Cultural Preservation,Drawing Techniques,Illustration,Conflict Resolution,drawing,Imagination,Illustrator
82,71,11,0,4,1,Cultural Preservation,Space Planning,Interior Design,Stock Tracking,space planning,Aesthetic Sense,Interior Designer
94,60,12,1,2,0,Cultural Preservation,Space Planning,Interior Design,Financial Analysis,color theory,Aesthetic Sense,Interior Designer
72,85,12,0,5,0,Cultural Preservation,Space Planning,Interior Design,Investing,furniture selection,Aesthetic Sense,Interior Designer
77,72,4,0,4,1,Cultural Preservation,trend forecasting,Interior Design,Inventory Management,lighting design,Insightful,Interior Designer
78,65,8,0,2,1,Cultural Preservation,material selection,Interior Design,Decorating,material selection,Resourceful,Interior Designer
80,70,11,1,5,1,Cultural Preservation,lighting design,Interior Design,Space Planning,client consultation,Strategic,Interior Designer
66,74,9,1,3,0,Cultural Preservation,furniture selection,Interior Design,Designing,CAD software proficiency,Problem-solving,Interior Designer
72,78,12,0,4,1,Cultural Preservation,color theory,Interior Design,Labor Advocacy,project management,Detail-oriented,Interior Designer
75,68,10,1,5,1,Cultural Preservation,space planning,Interior Design,Negotiation,trend forecasting,Creative,Interior Designer
67,76,7,1,4,0,Cultural Preservation,client consultation,Interior Design,Furniture Making,Space Planning,Innovative,Interior Designer
64,73,6,0,5,1,Cultural Preservation,CAD software proficiency,Interior Design,Color Theory,Engaging with Interior Design,Collaborative,Interior Designer
70,79,5,1,3,0,Cultural Preservation,project management,Interior Design,Project Management,Engaging with Interior Design,Organized,Interior Designer
71,72,7,0,1,1,Economic Development,Inventory Management,Supply Chain Management,Stock Trading,"	Analyze inventory trends",Detail-oriented,Inventory Control Specialist
77,85,6,1,3,1,Economic Development,Market Research,Finance,Crafting,"	Validate incoming shipments",Analytical,Investment Analyst
95,85,10,1,5,1,Economic Development,financial modeling,Investment Banking,Traveling,Negotiation,Analytical,Investment Banker
79,63,4,1,4,1,Economic Development,"Valuation, Negotiation",Finance,Jewelry Making,Financial Modeling,Persuasiveness,Investment Banker
89,73,12,1,4,0,Economic Development,Financial Modeling,Finance,Fashion Design,financial modeling,Persuasiveness,Investment Banker
89,78,9,1,3,0,Economic Development,market analysis,Investment Banking,Investing,valuation techniques,Strategic,Investment Banker
92,80,12,0,4,1,Economic Development,valuation techniques,Investment Banking,Investing,market analysis,Detail-oriented,Investment Banker
84,71,5,1,3,0,Economic Development,investment strategies,Investment Banking,Public Speaking,mergers and acquisitions,Resourceful,Investment Banker
86,73,6,0,5,1,Economic Development,financial reporting,Investment Banking,Financial Planning,risk assessment,Organized,Investment Banker
88,75,7,1,4,0,Economic Development,client relationship management,Investment Banking,Traveling,client relationship management,Interpersonal,Investment Banker
90,74,8,0,2,1,Economic Development,risk assessment,Investment Banking,Reading,financial reporting,Problem-solving,Investment Banker
94,76,11,1,5,1,Economic Development,mergers and acquisitions,Investment Banking,Networking,investment strategies,Negotiation skills,Investment Banker
91,79,4,0,4,1,Economic Development,portfolio management,Investment Banking,Stock Analysis,portfolio management,Insightful,Investment Banker
94,62,11,0,5,0,Economic Development,Steel Fabrication,Construction,Writing,Engaging with Construction,Physical Strength,Ironworker
66,94,7,1,4,1,Cultural Preservation,Metalworking,Fashion,Investigating,Metalworking,Craftsmanship,Jewelry Designer
85,94,9,0,4,1,Cultural Preservation,Metalworking,Fashion,Reporting,Engaging with Fashion,Craftsmanship,Jewelry Designer
79,73,6,0,5,1,Human Rights,social media engagement,Journalism,Acting,investigative reporting,Engaging,Journalist
66,70,5,1,3,0,Human Rights,research skills,Journalism,Filmmaking,news writing,Resourceful,Journalist
81,75,4,0,4,1,Human Rights,deadline management,Journalism,Coding,editing,Organized,Journalist
78,70,3,1,1,1,Human Rights,audience analysis,Journalism,Robotics,interviewing techniques,Strategic,Journalist
82,76,11,1,5,1,Human Rights,interviewing techniques,Journalism,Ceramics,multimedia storytelling,Communicative,Journalist
87,72,8,0,2,1,Human Rights,multimedia storytelling,Journalism,Interior Designing,fact-checking,Creative,Journalist
65,83,11,1,4,1,Human Rights,Reporting,Journalism,Conflict Resolution,social media engagement,Curiosity,Journalist
63,81,10,0,5,0,Human Rights,Reporting,Media,Labor Advocacy,research skills,Reporting,Journalist
90,78,10,1,5,1,Human Rights,investigative reporting,Journalism,Writing,deadline management,Inquisitive,Journalist
84,74,7,1,4,0,Human Rights,fact-checking,Journalism,Graphic Designing,audience analysis,Ethical,Journalist
85,75,12,0,4,1,Human Rights,news writing,Journalism,Street Photography,Reporting,Detail-oriented,Journalist
88,80,9,1,3,0,Human Rights,editing,Journalism,Pottery,Engaging with Journalism,Analytical,Journalist
64,94,5,0,5,0,Human Rights,Reporting,Media,Judging,Engaging with Media,Reporting,Journalist
68,66,3,1,1,1,Human Rights  ,legal ethics,Law,Visualization,Justice,Integrity,Judge
77,72,4,0,4,1,Human Rights  ,sentencing guidelines,Law,Data analysis,legal analysis,Insightful,Judge
70,79,5,1,3,0,Human Rights  ,public speaking,Law,Modeling,courtroom procedures,Persuasive,Judge
64,73,6,0,5,1,Human Rights  ,impartiality,Law,Coding,decision writing,Fair-minded,Judge
67,76,7,1,4,0,Human Rights  ,legal research,Law,Testing,case management,Resourceful,Judge
78,65,8,0,2,1,Human Rights  ,conflict resolution,Law,Prototyping,conflict resolution,Ethical,Judge
80,70,11,1,5,1,Human Rights  ,case management,Law,Analyzing,legal research,Organized,Judge
66,74,9,1,3,0,Human Rights  ,decision writing,Law,Researching,impartiality,Communicative,Judge
72,78,12,0,4,1,Human Rights  ,courtroom procedures,Law,Innovating,public speaking,Analytical,Judge
75,68,10,1,5,1,Human Rights  ,legal analysis,Law,Experimenting,sentencing guidelines,Detail-oriented,Judge
78,77,12,0,3,1,Human Rights,Justice,Law,Researching,legal ethics,Justice,Judge
63,64,4,1,4,1,Equality,Negotiation,Human Resources,Testing,Engaging with Human Resources,Mediation,Labor Relations Specialist
75,65,8,1,5,1,Technology and Innovation,Management,Science,Planning,Engaging with Science,Leadership,Laboratory Manager
87,93,8,0,2,1,Healthcare,Technical Skills,Laboratory Science,Landscaping,Technical Skills,Detail-oriented,Laboratory Technician
60,45,1,1,4,1,Healthcare,Testing,Science,Gardening,Engaging with Laboratory Science,Precision,Laboratory Technician
85,94,10,1,4,1,Environmental Conservation,Design and Planning,Landscape Design,Planting,Engaging with Landscape Design,Creativity,Landscape Architect
88,64,5,1,4,0,Environmental Conservation,Site Planning,Landscape Architecture,Training,Engaging with Landscape Design,Creativity,Landscape Designer
77,90,8,0,5,0,Environmental Conservation,Site Planning,Landscape Architecture,Delivery,Site Planning,Creativity,Landscape Designer
64,77,7,0,4,1,Environmental Conservation,Plant Care,Horticulture,Law,Engaging with Landscape Architecture,Creativity,Landscape Technician
69,90,4,0,4,1,Economic Development,Delivery Management,Logistics,Legal Research,Plant Care,Problem-Solving,Last-Mile Delivery Manager
90,65,11,1,4,1,Economic Development,Training and Development,Criminal Justice,Negotiation,Training and Development,Leadership,Law Enforcement Trainer
78,65,8,0,2,1,Human Rights  ,courtroom presentation,Law,Learning new programming languages,Advocacy,Persuasive,Lawyer
67,76,7,1,4,0,Human Rights  ,case analysis,Law,Open-source contributions,legal research,Problem-solving,Lawyer
66,74,9,1,3,0,Human Rights  ,litigation strategy,Law,Designing user interfaces,contract negotiation,Strategic,Lawyer
75,68,10,1,5,1,Human Rights  ,legal research,Law,Coding,litigation strategy,Detail-oriented,Lawyer
80,70,11,1,5,1,Human Rights  ,client counseling,Law,Testing software,client counseling,Communicative,Lawyer
69,69,7,0,5,1,Human Rights,Advocacy,Law,Logistics,courtroom presentation,Advocacy,Lawyer
73,67,10,1,4,0,Human Rights  ,trial preparation,Law,Studying UI/UX principles,case analysis,Detail-oriented,Lawyer
66,79,2,1,1,1,Human Rights  ,trial advocacy,Law,Group fitness classes,legal writing,Visionary,Lawyer
64,73,6,0,5,1,Human Rights  ,legal writing,Law,Participating in hackathons,negotiation skills,Organized,Lawyer
70,79,5,1,3,0,Human Rights  ,negotiation skills,Law,Web development,ethical compliance,Resourceful,Lawyer
77,72,4,0,4,1,Human Rights  ,ethical compliance,Law,Mobile app design,dispute resolution,Ethical,Lawyer
68,66,3,1,1,1,Human Rights  ,dispute resolution,Law,Debugging,regulatory knowledge,Insightful,Lawyer
63,71,3,0,2,1,Human Rights  ,client relationship management,Law,Nutrition and diet planning,trial preparation,Insightful,Lawyer
69,75,4,1,3,0,Human Rights  ,legal advocacy,Law,Hiking,advocacy,Engaging,Lawyer
74,72,5,0,4,1,Human Rights  ,mediation skills,Law,Running,legal compliance,Collaborative,Lawyer
80,64,6,1,5,0,Human Rights  ,research and analysis,Law,Strength training,public speaking,Analytical,Lawyer
62,78,7,0,1,1,Human Rights  ,public speaking,Law,Yoga and meditation,research and analysis,Charismatic,Lawyer
76,70,8,1,2,0,Human Rights  ,legal compliance,Law,Personal training,mediation skills,Strategic,Lawyer
65,74,9,0,3,1,Human Rights  ,advocacy,Law,Fitness training,legal advocacy,Supportive,Lawyer
79,75,12,0,5,1,Human Rights  ,regulatory knowledge,Law,Creating prototypes,client relationship management,Knowledgeable,Lawyer
72,78,12,0,4,1,Human Rights  ,contract negotiation,Law,App development,trial advocacy,Analytical,Lawyer
65,89,11,0,5,1,Human Rights,Administrative Skills,Law,Shipping,legal advocacy,Organization,Legal Assistant
84,76,10,1,3,0,Human Rights,Support,Law,Supply Chain,legal advocacy,Support,Legal Assistant
64,73,6,0,5,1,Economic Development,risk management,Logistics,Surveying,supply chain management,Collaborative,Logistics Manager
75,68,10,1,5,1,Economic Development,supply chain management,Logistics,Problem Solving,inventory control,Analytical,Logistics Manager
72,78,12,0,4,1,Economic Development,inventory control,Logistics,Maintenance,transportation planning,Detail-oriented,Logistics Manager
66,74,9,1,3,0,Economic Development,transportation planning,Logistics,Marine Research,vendor management,Problem-solving,Logistics Manager
80,70,11,1,5,1,Economic Development,vendor management,Logistics,Aquatic Biology,logistics software proficiency,Strategic,Logistics Manager
78,65,8,0,2,1,Economic Development,logistics software proficiency,Logistics,Navigation,process optimization,Resourceful,Logistics Manager
67,76,7,1,4,0,Economic Development,process optimization,Logistics,Building stuff,risk management,Innovative,Logistics Manager
70,79,5,1,3,0,Economic Development,demand forecasting,Logistics,Market Research,demand forecasting,Organized,Logistics Manager
87,64,4,0,3,1,Economic Development,Supply Chain Management,Logistics,Brand Strategy,Supply Chain Management,Organization,Logistics Manager
81,78,9,1,4,0,Economic Development,Troubleshooting,Mechanics,Advertising,Troubleshooting,Troubleshooting,Maintenance technician
62,91,11,0,5,1,Environmental Conservation,Research,Marine Biology,Building,Research,Research,Marine Biologist
64,71,12,0,3,0,Environmental Conservation,Research,Marine Biology,Materials Science,Field Research,Passion,Marine Biologist
62,86,5,1,2,0,Environmental Conservation,Field Research,Marine Biology,Mechanics,Engaging with Marine Biology,Passion,Marine Biologist
94,92,9,0,1,0,Economic Development,Surveying,Maritime Studies,Automotive Repair,Engaging with Maritime Studies,Analytical,Marine Cargo Surveyor
64,75,11,0,3,1,Technology and Innovation,Ship Design,Marine Engineering,Media Planning,Engaging with Marine Engineering,Innovation,Marine Engineer
63,78,7,0,4,0,Technology and Innovation,Boat Repair,Marine Technology,Advertising,Boat Repair,Technical Skills,Marine Mechanic
68,79,11,1,1,1,Economic Development,Data Analysis,Marketing,Communication,Research,Insight,Market Research Analyst
87,75,12,1,2,1,Technology and Innovation,Data Analysis,Business,Consulting,Data Analysis,Critical Thinking,Market Research Analyst
